decile,n,mean_pct,lo_pct,hi_pct
1,323,2.67432989880888,2.57206121592429,2.78843207454883
2,322,4.40611532468906,4.37297802628094,4.43812967503991
3,322,5.2395844986466,5.2137713327041,5.26348634249211
4,322,5.95542374769442,5.9355651649471,5.97545047960757
5,322,6.6302878335206,6.60736780867768,6.65098181182235
6,322,7.27663944185598,7.25516840271475,7.29741963309999
7,322,7.85623535075306,7.83979268378589,7.87368793808839
8,322,8.46709844641821,8.4481625295734,8.48629903703759
9,322,9.17542338465917,9.1492789903944,9.20189886169803
10,322,10.4961203216202,10.4184730326471,10.5767668543942
