decile,n,mean_pct,lo_pct,hi_pct
1,320,-16.9144067612212,-16.9905714324826,-16.8336021731903
2,320,-15.4973133667929,-15.5308453825451,-15.4657531173812
3,319,-14.6426979594569,-14.6656406741535,-14.6207010329961
4,320,-13.8924903676174,-13.914801020202,-13.8713183253127
5,319,-13.2387093749105,-13.258669763029,-13.2179692069359
6,320,-12.6111996793111,-12.62958672948,-12.5911759056766
7,319,-11.9257848874258,-11.9516066530368,-11.9007480591013
8,320,-11.2130252756654,-11.2354962310672,-11.1900760655008
9,319,-10.3905713114102,-10.4249813325006,-10.3590724431757
10,320,-8.67899144787769,-8.76856201089395,-8.58492281438845
