treatment,r2_tau,r2_tau_oos,n_kept
seller_N_total_value_high,0.740122212945672,0.767296703396088,4206
seller_N_1_total_value_high,0.814495132043886,0.952343526955594,4206
buyer_N_total_value_high,0.781423541275324,0.807519956892015,4206
buyer_N_gaspaid_high,0.720802515108292,0.742042006501831,3340
seller_N_gaspaid_high,0.816173611842603,0.945853824272236,4206
seller_N_1_gaspaid_high,0.808463097470844,0.956245594691224,4206
buyer_N_gaslimit_cost_high,0.801020141460865,0.921467080446647,4206
seller_N_gaslimit_cost_high,0.62780272133795,0.64926309521045,4206
seller_N_1_gaslimit_cost_high,0.731193616476415,0.7543187191342,4206
seller_N_Tvalue_Gaslimit_11vs00,0.767871245335042,0.785036196103606,2200
seller_N_Gaslimit_given_TvalueHigh,0.653629963165689,0.675767389684064,2103
seller_N_1_Tvalue_Gaslimit_11vs00,0.787205230496193,0.886537950774533,2640
seller_N_1_Gaslimit_given_TvalueHigh,0.556731360626166,0.567384243626617,2103
buyer_N_Tvalue_Gaspaid_11vs00,0.729723031209371,0.767302762265832,3062
buyer_N_Gaspaid_given_TvalueHigh,0.727347819450582,0.740512856889083,2102
seller_N_Tvalue_Gaspaid_11vs00,0.628415741419007,0.664631596845069,2782
seller_N_Gaspaid_given_TvalueHigh,0.763626444003413,0.805572028459702,2103
seller_N_1_Tvalue_Gaspaid_11vs00,0.616455249679762,0.617257147017694,2972
seller_N_1_Gaspaid_given_TvalueHigh,0.830723132154198,0.9101153215732,2103
buyer_N_Tvalue_Gaslimit_11vs00,0.790877095088238,0.86393257544716,2462
buyer_N_Gaslimit_given_TvalueHigh,0.810192256737826,0.95864345798063,2103
all_total_value_11vs00,0.759148619269177,0.80011797495706,1261
seller_total_value_11vs00,0.808336856665284,0.931156970578119,2224
combo3_TV_crosslayer_11vs00,0.470136601941126,0.515145632706095,963
combo4_GP_crosslayer_11vs00,0.362689689130187,0.373776985871385,1018
