treatment,alpha_used,n_total,n_kept,kept_pct,prop_quant_all,prop_quant_kept
seller_N_total_value_high,0.05,4206,4206,100,"min=0.169, p5=0.245, p25=0.335, p50=0.472, p75=0.670, p95=0.800, max=0.888","min=0.169, p5=0.245, p25=0.335, p50=0.472, p75=0.670, p95=0.800, max=0.888"
seller_N_1_total_value_high,0.05,4206,4206,100,"min=0.143, p5=0.210, p25=0.307, p50=0.456, p75=0.705, p95=0.875, max=0.923","min=0.143, p5=0.210, p25=0.307, p50=0.456, p75=0.705, p95=0.875, max=0.923"
buyer_N_total_value_high,0.05,4206,4206,100,"min=0.173, p5=0.233, p25=0.309, p50=0.465, p75=0.686, p95=0.841, max=0.895","min=0.173, p5=0.233, p25=0.309, p50=0.465, p75=0.686, p95=0.841, max=0.895"
buyer_N_gaspaid_high,0.05,4206,3340,79.4103661436044,"min=0.024, p5=0.042, p25=0.078, p50=0.734, p75=0.919, p95=0.958, max=0.974","min=0.050, p5=0.057, p25=0.090, p50=0.768, p75=0.907, p95=0.945, max=0.950"
seller_N_gaspaid_high,0.05,4206,4206,100,"min=0.113, p5=0.162, p25=0.293, p50=0.492, p75=0.713, p95=0.832, max=0.903","min=0.113, p5=0.162, p25=0.293, p50=0.492, p75=0.713, p95=0.832, max=0.903"
seller_N_1_gaspaid_high,0.05,4206,4206,100,"min=0.079, p5=0.124, p25=0.269, p50=0.487, p75=0.764, p95=0.870, max=0.921","min=0.079, p5=0.124, p25=0.269, p50=0.487, p75=0.764, p95=0.870, max=0.921"
buyer_N_gaslimit_cost_high,0.05,4206,4206,100,"min=0.140, p5=0.200, p25=0.342, p50=0.521, p75=0.654, p95=0.761, max=0.842","min=0.140, p5=0.200, p25=0.342, p50=0.521, p75=0.654, p95=0.761, max=0.842"
seller_N_gaslimit_cost_high,0.05,4206,4206,100,"min=0.080, p5=0.114, p25=0.346, p50=0.494, p75=0.704, p95=0.813, max=0.883","min=0.080, p5=0.114, p25=0.346, p50=0.494, p75=0.704, p95=0.813, max=0.883"
seller_N_1_gaslimit_cost_high,0.05,4206,4206,100,"min=0.105, p5=0.158, p25=0.306, p50=0.458, p75=0.742, p95=0.853, max=0.908","min=0.105, p5=0.158, p25=0.306, p50=0.458, p75=0.742, p95=0.853, max=0.908"
seller_N_Tvalue_Gaslimit_11vs00,0.05,2200,2200,100,"min=0.110, p5=0.151, p25=0.207, p50=0.438, p75=0.817, p95=0.858, max=0.895","min=0.110, p5=0.151, p25=0.207, p50=0.438, p75=0.817, p95=0.858, max=0.895"
seller_N_Gaslimit_given_TvalueHigh,0.05,2103,2103,100,"min=0.087, p5=0.129, p25=0.305, p50=0.563, p75=0.751, p95=0.835, max=0.891","min=0.087, p5=0.129, p25=0.305, p50=0.563, p75=0.751, p95=0.835, max=0.891"
seller_N_1_Tvalue_Gaslimit_11vs00,0.05,2640,2640,100,"min=0.103, p5=0.144, p25=0.207, p50=0.367, p75=0.849, p95=0.899, max=0.937","min=0.103, p5=0.144, p25=0.207, p50=0.367, p75=0.849, p95=0.899, max=0.937"
seller_N_1_Gaslimit_given_TvalueHigh,0.05,2103,2103,100,"min=0.211, p5=0.285, p25=0.424, p50=0.704, p75=0.809, p95=0.867, max=0.902","min=0.211, p5=0.285, p25=0.424, p50=0.704, p75=0.809, p95=0.867, max=0.902"
buyer_N_Tvalue_Gaspaid_11vs00,0.05,3062,3062,100,"min=0.234, p5=0.290, p25=0.375, p50=0.466, p75=0.650, p95=0.719, max=0.772","min=0.234, p5=0.290, p25=0.375, p50=0.466, p75=0.650, p95=0.719, max=0.772"
buyer_N_Gaspaid_given_TvalueHigh,0.05,2103,2102,99.9524488825487,"min=0.376, p5=0.462, p25=0.628, p50=0.788, p75=0.843, p95=0.892, max=0.951","min=0.376, p5=0.462, p25=0.628, p50=0.788, p75=0.843, p95=0.892, max=0.946"
seller_N_Tvalue_Gaspaid_11vs00,0.05,2782,2782,100,"min=0.221, p5=0.293, p25=0.385, p50=0.478, p75=0.632, p95=0.723, max=0.830","min=0.221, p5=0.293, p25=0.385, p50=0.478, p75=0.632, p95=0.723, max=0.830"
seller_N_Gaspaid_given_TvalueHigh,0.05,2103,2103,100,"min=0.168, p5=0.236, p25=0.575, p50=0.743, p75=0.825, p95=0.871, max=0.909","min=0.168, p5=0.236, p25=0.575, p50=0.743, p75=0.825, p95=0.871, max=0.909"
seller_N_1_Tvalue_Gaspaid_11vs00,0.05,2972,2972,100,"min=0.158, p5=0.237, p25=0.302, p50=0.436, p75=0.727, p95=0.806, max=0.864","min=0.158, p5=0.237, p25=0.302, p50=0.436, p75=0.727, p95=0.806, max=0.864"
seller_N_1_Gaspaid_given_TvalueHigh,0.05,2103,2103,100,"min=0.290, p5=0.369, p25=0.552, p50=0.795, p75=0.854, p95=0.900, max=0.931","min=0.290, p5=0.369, p25=0.552, p50=0.795, p75=0.854, p95=0.900, max=0.931"
buyer_N_Tvalue_Gaslimit_11vs00,0.05,2462,2462,100,"min=0.108, p5=0.156, p25=0.211, p50=0.490, p75=0.786, p95=0.841, max=0.883","min=0.108, p5=0.156, p25=0.211, p50=0.490, p75=0.786, p95=0.841, max=0.883"
