treatment,model,n_used,treated_share,overlap_alpha,target_primary,ATE_log,SE_log,CI95_lo_log,CI95_hi_log,z_or_t,p_value,ATE_pp,CI95_lo_pp,CI95_hi_pp,ATE_pct,CI95_lo_pct,CI95_hi_pct,top_importances,calib_intercept,calib_slope,calib_p_slope,AIPW_log,AIPW_se_log
seller_N_total_value_high,GRF,4206,0.5,0.05,overlap,-0.152065314460696,0.0306069699398693,-0.21205497554284,-0.0920756533785527,-4.9683230571156,6.75343844839071e-07,-15.2065314460696,-21.205497554284,-9.20756533785527,-14.1067821783005,-19.1079774484439,-8.79638516809471,"log_sellern_avg_total_gaspaid:0.0871, log_sellern_avg_gasLimit_cost:0.0843, log_buyern_total_value:0.0764, log_price_1_sale:0.0701, log_sellern_1_avg_total_gaspaid:0.0649, log_buyern_avg_total_gaspaid:0.0647, log_sellern_1_rolling_avg_value_last10:0.0626, log_buyern_avg_gasLimit_cost:0.0554",,,,-0.177425698648382,0.0218794206406176
seller_N_1_total_value_high,GRF,4206,0.5,0.05,overlap,-0.224065683992034,0.0308721292111274,-0.284575057245844,-0.163556310738225,-7.25786298896654,3.93253575341233e-13,-22.4065683992034,-28.4575057245844,-16.3556310738225,-20.0737366115314,-24.7666114764611,-15.0881316844565,"sold_after_30d:0.1191, log_sellern_1_rolling_avg_value_last10:0.0833, log_buyern_total_value:0.0743, `log_price_change_n-1`:0.0630, log_sellern_1_avg_total_gaspaid:0.0628, log_sellern_avg_gasLimit_cost:0.0560, log_price_1_sale:0.0554, log_buyern_avg_gasLimit_cost:0.0544",,,,-0.232251826041108,0.0217151487622506
buyer_N_total_value_high,GRF,4206,0.5,0.05,overlap,0.0643330378681108,0.0295225022574821,0.00646893344344597,0.122197142292776,2.17911873820948,0.029322848585875,6.43330378681108,0.646893344344597,12.2197142292776,6.6447507030166,0.648990218413825,12.9976846049653,"log_buyern_avg_gasLimit_cost:0.1075, log_sellern_avg_total_gaspaid:0.0953, log_sellern_rolling_avg_value_last10:0.0771, log_sellern_1_total_value:0.0663, log_sellern_1_avg_total_gaspaid:0.0605, `log_price_change_n-1`:0.0578, log_sellern_1_avg_gasLimit_cost:0.0572, log_sellern_1_rolling_avg_value_last10:0.0571",,,,0.0373388591065301,0.020757103211132
buyer_N_gaspaid_high,GRF,3340,0.504491017964072,0.05,overlap,-0.285029188265513,0.119980066001468,-0.520190117628391,-0.0498682589026364,-2.37563786856082,0.0175186464571244,-28.5029188265513,-52.0190117628391,-4.98682589026364,-24.8007695352004,-40.5592470122709,-4.8645251236061,"log_sellern_1_rolling_avg_value_last10:0.0838, log_sellern_avg_gasLimit_cost:0.0804, log_buyern_rolling_avg_value_last10:0.0798, log_sellern_rolling_avg_value_last10:0.0712, log_sellern_1_avg_gasLimit_cost:0.0672, log_sellern_1_avg_total_gaspaid:0.0627, log_sellern_1_total_value:0.0612, log_sellern_total_value:0.0609",,,,-0.0263984639843939,0.0164962535868275
seller_N_gaspaid_high,GRF,4206,0.5,0.05,overlap,0.214545512424692,0.0336222087019307,0.148645983368908,0.280445041480476,6.38106539420689,1.75860185559528e-10,21.4545512424692,14.8645983368908,28.0445041480476,23.9298523171685,16.0262164391346,32.3718791038237,"sold_after_30d:0.1094, log_buyern_total_value:0.0895, log_buyern_rolling_avg_value_last10:0.0748, log_sellern_total_value:0.0704, log_buyern_avg_total_gaspaid:0.0643, log_sellern_rolling_avg_value_last10:0.0557, log_price_1_sale:0.0544, log_sellern_1_avg_total_gaspaid:0.0538",,,,0.231003438840566,0.0209121975148943
seller_N_1_gaspaid_high,GRF,4206,0.500475511174513,0.05,overlap,0.277312709327008,0.0337753324559119,0.211113057713421,0.343512360940596,8.21051013158772,2.20250720836753e-16,27.7312709327008,21.1113057713421,34.3512360940596,31.9578951168523,23.5051979321184,40.9890949953439,"sold_after_30d:0.1317, log_sellern_avg_gasLimit_cost:0.0736, log_sellern_total_value:0.0726, log_sellern_1_total_value:0.0698, log_sellern_1_rolling_avg_value_last10:0.0675, log_price_1_sale:0.0654, log_buyern_avg_gasLimit_cost:0.0536, log_buyern_total_value:0.0522",,,,0.287387581337208,0.0201195113123655
buyer_N_gaslimit_cost_high,GRF,4206,0.5,0.05,overlap,0.185475252106316,0.0277878140211711,0.131011136624821,0.239939367587812,6.6746974758434,2.47742679234612e-11,18.5475252106316,13.1011136624821,23.9939367587812,20.3790408129458,13.9980476776171,27.1172073755621,"log_buyern_total_value:0.1116, sold_after_30d:0.1013, log_sellern_total_value:0.0611, log_sellern_rolling_avg_value_last10:0.0586, log_buyern_rolling_avg_value_last10:0.0578, `log_price_change_n-1`:0.0575, log_price_1_sale:0.0549, log_sellern_avg_gasLimit_cost:0.0536",,,,0.198792269272337,0.0223714853394534
seller_N_gaslimit_cost_high,GRF,4206,0.5,0.05,overlap,0.0719883232347131,0.0305954123468164,0.012021315034953,0.131955331434473,2.35291233923193,0.0186270247596741,7.19883232347131,1.2021315034953,13.1955331434473,7.46427956388593,1.20938614521993,14.1057348733902,"log_sellern_total_value:0.0877, log_sellern_1_total_value:0.0832, log_sellern_avg_total_gaspaid:0.0782, log_buyern_avg_total_gaspaid:0.0631, log_sellern_1_avg_total_gaspaid:0.0616, log_sellern_1_avg_gasLimit_cost:0.0588, log_sellern_rolling_avg_value_last10:0.0576, log_buyern_total_value:0.0555",,,,0.116306500907415,0.0229144582868163
seller_N_1_gaslimit_cost_high,GRF,4206,0.5,0.05,overlap,0.0304686659956874,0.029881701465261,-0.028099468876224,0.0890368008675989,1.01964294205632,0.307897831276633,3.04686659956874,-2.8099468876224,8.90368008675989,3.09375861399079,-2.77083507665785,9.31208833830293,"`log_price_change_n-1`:0.0819, log_sellern_total_value:0.0812, log_sellern_1_total_value:0.0752, log_buyern_total_value:0.0725, log_buyern_avg_total_gaspaid:0.0712, log_sellern_1_rolling_avg_value_last10:0.0698, log_sellern_avg_total_gaspaid:0.0674, log_buyern_rolling_avg_value_last10:0.0621",,,,0.064243905600712,0.0213758428153311
seller_N_Tvalue_Gaslimit_11vs00,GRF,2200,0.5,0.05,overlap,-0.216377660356468,0.0581002245819412,-0.330254100537073,-0.102501220175864,-3.72421383761266,0.000195924807520901,-21.6377660356468,-33.0254100537073,-10.2501220175864,-19.4568934955134,-28.1258922267415,-9.74229515504759,"log_sellern_1_avg_total_gaspaid:0.1041, log_sellern_1_total_value:0.0989, log_buyern_total_value:0.0987, log_sellern_1_rolling_avg_value_last10:0.0821, log_sellern_rolling_avg_value_last10:0.0792, log_price_1_sale:0.0759, log_buyern_avg_gasLimit_cost:0.0750, log_buyern_rolling_avg_value_last10:0.0741",,,,-0.111352413523005,0.030275590371282
