treatment,display_label,subgroup,metric,n_kept,kept_pct,treated_prop,treated_kept,control_kept,ATE,CI_lower,CI_upper,StdErr,ATE_pct,CI_lower_pct,CI_upper_pct,p_value,q_value_bh,GATES_lift,GATES_bot_mean,GATES_top_mean
seller_N_total_value_high,Seller N High — Total Value,Seller N High,Total Value,4206,100,0.5,2103,2103,-0.152065314460696,-0.21205497554284,-0.0920756533785527,0.0306069699398693,-14.1067821783005,-19.1079774484439,-8.79638516809471,6.75343844839071e-07,1.53487237463425e-06,11.8051389049837,-19.6650975035593,-7.85995859857559
seller_N_gaspaid_high,Seller N High — Gas Paid,Seller N High,Gas Paid,4206,100,0.5,2103,2103,0.214545512424692,0.148645983368908,0.280445041480476,0.0336222087019307,23.9298523171685,16.0262164391346,32.3718791038237,1.75860185559528e-10,5.49563079873524e-10,28.5858752011583,13.1233302617634,41.7092054629217
seller_N_gaslimit_cost_high,Seller N High — Gas Limit Cost,Seller N High,Gas Limit Cost,4206,100,0.5,2103,2103,0.0719883232347131,0.012021315034953,0.131955331434473,0.0305954123468164,7.46427956388593,1.20938614521993,14.1057348733902,0.0186270247596741,0.027392683470109,9.36164417257974,3.08915352434201,12.4507976969218
seller_N_1_total_value_high,Seller N-1 High — Total Value,Seller N-1 High,Total Value,4206,100,0.5,2103,2103,-0.224065683992034,-0.284575057245844,-0.163556310738225,0.0308721292111274,-20.0737366115314,-24.7666114764611,-15.0881316844565,3.93253575341233e-13,1.96626787670616e-12,18.6008957271768,-30.511190629199,-11.9102949020222
seller_N_1_gaspaid_high,Seller N-1 High — Gas Paid,Seller N-1 High,Gas Paid,4206,100,0.500475511174513,2105,2101,0.277312709327008,0.211113057713421,0.343512360940596,0.0337753324559119,31.9578951168523,23.5051979321184,40.9890949953439,2.20250720836753e-16,1.3765670052297e-15,41.3114758938866,17.3695534311147,58.6810293250013
seller_N_1_gaslimit_cost_high,Seller N-1 High — Gas Limit Cost,Seller N-1 High,Gas Limit Cost,4206,100,0.5,2103,2103,0.0304686659956874,-0.028099468876224,0.0890368008675989,0.029881701465261,3.09375861399079,-2.77083507665785,9.31208833830293,0.307897831276633,0.349883899177992,9.88781366494717,-1.54593496524946,8.34187869969771
buyer_N_total_value_high,Buyer N High — Total Value,Buyer N High,Total Value,4206,100,0.5,2103,2103,0.0643330378681108,0.00646893344344597,0.122197142292776,0.0295225022574821,6.6447507030166,0.648990218413825,12.9976846049653,0.029322848585875,0.040726178591493,17.4642154856254,-1.97775694771723,15.4864585379082
buyer_N_gaspaid_high,Buyer N High — Gas Paid,Buyer N High,Gas Paid,3340,79.4103661436044,0.504491017964072,1685,1655,-0.285029188265513,-0.520190117628391,-0.0498682589026364,0.119980066001468,-24.8007695352004,-40.5592470122709,-4.8645251236061,0.0175186464571244,0.0273728850892569,19.5964516201886,-34.5962644147402,-14.9998127945516
buyer_N_gaslimit_cost_high,Buyer N High — Gas Limit Cost,Buyer N High,Gas Limit Cost,4206,100,0.5,2103,2103,0.185475252106316,0.131011136624821,0.239939367587812,0.0277878140211711,20.3790408129458,13.9980476776171,27.1172073755621,2.47742679234612e-11,8.84795282980756e-11,20.3330827166199,13.4559438043413,33.7890265209611
seller_total_value_11vs00,Combination — Seller — S:N + S:N-1: Total Value,Combination — Seller,S:N + S:N-1: Total Value,2224,100,0.5,1112,1112,-0.399152682520038,-0.494187585102597,-0.304117779937479,0.0484871951951832,-32.9111739377105,-38.9933666999217,-26.2226033638483,1.83920207683854e-16,1.3765670052297e-15,17.7408652568773,-41.8015837305027,-24.0607184736254
