decile,n,mean_pct,lo_pct,hi_pct
1,127,-35.5345263851446,-35.6910302854449,-35.3883330327263
2,126,-33.9042179535729,-33.9598858805271,-33.849387659454
3,126,-32.7770009629594,-32.8260960160712,-32.7305575582082
4,126,-31.7689702460012,-31.8308714543934,-31.7187560362376
5,126,-30.7934479927369,-30.8363154964951,-30.7559283600217
6,126,-30.1022675788561,-30.1368691245399,-30.0647803904107
7,126,-29.3739960103921,-29.4100837396766,-29.3411421791623
8,126,-28.7176270495687,-28.7506318205099,-28.6806622131807
9,126,-27.9249289027973,-27.9752817539188,-27.8760879963588
10,126,-26.5980711220356,-26.6954760354105,-26.4951472690045
