decile,n,mean_pct,lo_pct,hi_pct
1,211,26.1348312789833,26.0071123689241,26.2466424496733
2,210,27.8503905140223,27.8053765811467,27.8938079585255
3,210,28.7577778026439,28.7244578207424,28.7880624704279
4,210,29.577583638034,29.5492092427948,29.6126046396677
5,211,30.561359328895,30.5216522320143,30.6024292807649
6,210,33.4782749566706,33.0480344745514,33.9563791939158
7,210,43.208523865851,43.128061082865,43.2859049126781
8,210,44.7344912475672,44.692254222047,44.7788963603596
9,210,46.0089257078389,45.9659105113601,46.0578210249875
10,211,47.7207841181389,47.6234808215564,47.8280292211873
