decile,n,mean_pct,lo_pct,hi_pct
1,211,-10.4865803926486,-10.5195688543426,-10.4543504521539
2,210,-9.92731057548443,-9.94330863978963,-9.91119513382794
3,210,-9.57956957866201,-9.59270435195267,-9.5676929935536
4,210,-9.28141062601986,-9.29200090698567,-9.26975942080495
5,210,-9.01164824199499,-9.02193504188415,-9.00138890498782
6,210,-8.7723375164049,-8.78181043705777,-8.76121673381996
7,210,-8.52575048331042,-8.53458672453964,-8.51662205770673
8,210,-8.25317717340417,-8.26583114254045,-8.240525957352
9,210,-7.82462492936052,-7.8453201432284,-7.80349796531713
10,211,-7.13599344671186,-7.17537893137876,-7.08949486763603
