decile,n,mean_pct,lo_pct,hi_pct
1,421,13.4559438043413,13.4267416662793,13.4842166197185
2,421,14.1518935783562,14.1370913523105,14.1665342522944
3,420,14.7157454698396,14.6989449051409,14.7317412384644
4,421,15.3804341235856,15.3610393891108,15.4029041959717
5,420,16.3350291205612,16.3020903048364,16.3743298810889
6,421,20.3829227467758,20.2640779334353,20.5093097801929
7,420,23.1273633027665,23.065752293413,23.1927077088049
8,421,25.2023204760214,25.1490924260718,25.2675907968475
9,420,27.7660176854121,27.6685865237932,27.8742248946795
10,421,33.7890265209611,33.6141276368233,33.9703496817029
