decile,n,mean_pct,lo_pct,hi_pct
1,334,-34.5962644147402,-34.8253164646552,-34.3965109872498
2,334,-30.9341596640608,-31.0153348947071,-30.849184102224
3,334,-28.8151405491032,-28.8643763332274,-28.7678326102259
4,334,-27.1970729668497,-27.2416943090957,-27.1503783900577
5,334,-25.6709151405986,-25.7171243343204,-25.6242597025271
6,334,-24.2595103724018,-24.2999003960882,-24.2130933900136
7,334,-22.740391230549,-22.7896235390916,-22.6866121560883
8,334,-20.9461535549714,-21.004539347441,-20.8884654224082
9,334,-18.8680230922727,-18.9502075401597,-18.7965029870196
10,334,-14.9998127945516,-15.1944676298157,-14.7999253924277
