decile,n,mean_pct,lo_pct,hi_pct
1,395,-27.0957754542647,-27.2772308769545,-26.8960247896627
2,395,-22.7905226124534,-22.902756766282,-22.6876760888118
3,394,-19.7131872936086,-19.784057751042,-19.6407479620346
4,395,-17.1163825622283,-17.1968207615535,-17.0434958056813
5,395,-14.3683561057107,-14.4557177455868,-14.2957411277673
6,394,-11.1404718397675,-11.243314109703,-11.045829899449
7,395,-7.49779604546245,-7.59518744135695,-7.38888918076489
8,394,-3.44660524901054,-3.57263767094256,-3.31138933024898
9,395,1.98848963212543,1.80518930224059,2.18620162900354
10,395,10.7581938898692,10.4312916479438,11.0889933548059
