decile,n,mean_pct,lo_pct,hi_pct
1,97,51.2280176504934,51.0569294963617,51.4293996428817
2,96,53.5829460346392,53.4868602980737,53.7017722187524
3,96,55.1348868904161,55.0518945699567,55.2084022432682
4,96,56.3195984059368,56.2555910069023,56.386893884775
5,97,57.4245891790432,57.367030074655,57.4798320298158
6,96,58.5155361207614,58.4444455954883,58.5772478330514
7,96,59.6316514928797,59.5635528280236,59.7000340818085
8,96,60.9095567118164,60.8236464891646,60.9957972850001
9,96,62.5083992227413,62.4095744438229,62.6149634204583
10,97,64.6736904133093,64.5129504934298,64.8419592520704
