decile,n,mean_pct,lo_pct,hi_pct
1,211,1.4113360312115,1.32679326976556,1.4983880147661
2,210,2.68284496098214,2.64601136120536,2.72222559273007
3,210,3.73564865805934,3.69401908460656,3.76938382225899
4,210,4.61816038236841,4.58774328077554,4.64939920282261
5,211,5.43792466005545,5.40833551815068,5.46951390923132
6,210,6.19697025747805,6.16312093457176,6.23137563876646
7,210,6.99755390200636,6.96386487581046,7.03415280223098
8,210,7.87983426091598,7.84805947483502,7.91007814253797
9,210,8.8617279831198,8.81499524085223,8.90299668888654
10,211,10.2439623933665,10.1649561539232,10.3225692798797
