decile,n,mean_pct,lo_pct,hi_pct
1,298,-4.16509266829303,-4.21391400041422,-4.1161777983706
2,297,-3.08249136712225,-3.10458896874611,-3.05809449499702
3,297,-2.51207535680602,-2.52796463850442,-2.49669576874742
4,297,-2.07688787246697,-2.09310580753269,-2.06242050941384
5,297,-1.57724104474291,-1.5941444350447,-1.56192560411441
6,297,-1.06408988128803,-1.07943774687918,-1.04878319183135
7,297,-0.563437576820111,-0.581674711144256,-0.54561804755117
8,297,0.066251695417497,0.046777368748795,0.087541124735382
9,297,0.893247104746093,0.860682510106846,0.925000654556753
10,298,2.32568015384248,2.23322182293252,2.40747690407934
