decile,n,mean_pct,lo_pct,hi_pct
1,321,-52.7908626339825,-52.9464455536701,-52.6428495824582
2,321,-48.9491392798851,-49.0529910048832,-48.8439392297295
3,321,-45.924970994741,-46.017853572556,-45.8220492511482
4,321,-41.5738402625209,-41.7809257605334,-41.3773016477534
5,321,-36.1130810882821,-36.2090800631203,-35.9944792466569
6,321,-33.3844286337055,-33.4466164183561,-33.3147252205976
7,321,-31.2764405842513,-31.3409771428154,-31.2183396012633
8,321,-29.3777469374801,-29.438466820812,-29.3156857005543
9,321,-27.3007700288328,-27.3665059669105,-27.2278387140535
10,321,-24.280588571113,-24.4218279901656,-24.122686391213
