decile,n,mean_pct,lo_pct,hi_pct
1,211,3.93890714135122,3.87405456210875,4.01550533046595
2,210,4.97751127207041,4.9490394060193,5.00379644386889
3,210,5.62329320379121,5.59961940170194,5.64836605503901
4,210,6.1332815572812,6.11411065174434,6.15049834737458
5,211,6.55920499051728,6.54427154073213,6.57552299631264
6,210,6.96236649050672,6.9470393160442,6.97768065589279
7,210,7.37178098110556,7.35709205621191,7.38587339327641
8,210,7.75816794225919,7.74157866364011,7.77481495102185
9,210,8.25585499620782,8.23545460005164,8.27870389707598
10,211,9.12863542108789,9.07450386261202,9.18217547537739
