decile,n,mean_pct,lo_pct,hi_pct
1,211,14.5385294070268,14.417527916895,14.6530065059885
2,210,16.3594592732521,16.2983823038713,16.4140942754109
3,210,17.6318782518167,17.5907398036696,17.6807051408528
4,210,18.8032385385289,18.7616903820914,18.8477992455643
5,211,19.9103203198047,19.8613687233919,19.96264372502
6,210,21.1172285744342,21.0684472382232,21.1654554928167
7,210,22.1900553252514,22.1558422156276,22.2256189113228
8,210,23.2555841105374,23.2066155933961,23.2968500820939
9,210,24.4014020328655,24.3541434935491,24.4533127594139
10,211,26.1076538040308,26.0077194893447,26.2133400491809
