decile,n,mean_pct,lo_pct,hi_pct
1,421,2.30433123456289,2.26548982263785,2.34446706953021
2,421,3.13579891605591,3.11934554585905,3.15106395552907
3,420,3.69587889509595,3.68187292430401,3.70947173862427
4,421,4.17733494781296,4.16448969848074,4.18813552758768
5,420,4.67487554293082,4.66132011998252,4.68806092326602
6,421,5.14886530471494,5.13639782511593,5.16168119369814
7,420,5.61475186562483,5.60218661839169,5.62748846098427
8,421,6.07642383812199,6.06286463310088,6.08970032008879
9,420,6.62982994990279,6.61385234875045,6.64623944332014
10,421,7.7414759002524,7.67956513662864,7.81089733631769
