decile,n,mean_pct,lo_pct,hi_pct
1,220,-23.989209354793,-24.1075332346275,-23.8863242719508
2,220,-22.260332822321,-22.3078757619803,-22.2136798472862
3,220,-21.2241851273423,-21.2546486560372,-21.1945655081025
4,220,-20.4475582805373,-20.4753064482443,-20.417879553829
5,220,-19.67159176564,-19.6999399904664,-19.6405207000659
6,220,-18.9469401120293,-18.9730292324808,-18.9200080986315
7,220,-18.2147505162739,-18.2446772017665,-18.1843561866275
8,220,-17.3528753325335,-17.3855038317752,-17.319735072333
9,220,-16.222056582317,-16.2697092547756,-16.1706211114897
10,220,-14.4723218582662,-14.5717345031809,-14.3605163222112
