decile,n,mean_pct,lo_pct,hi_pct
1,346,-16.1087128140613,-16.292886832816,-15.9205548723881
2,345,-12.1769180634624,-12.2609425310051,-12.0964893589277
3,345,-10.1233106846959,-10.1739851268137,-10.0706741297943
4,345,-8.43078289843859,-8.479219003938,-8.38286563288577
5,346,-6.79122360354646,-6.84563992736089,-6.73777284322735
6,345,-5.10759883903605,-5.16706711523317,-5.05440322629205
7,345,-3.31845295945177,-3.37421339088091,-3.26184163883547
8,345,-1.26890438241844,-1.32982721147509,-1.20732260248197
9,345,1.20922421857119,1.12776704039902,1.28285979002519
10,346,4.94477403208705,4.74747817416641,5.1727419072364
