decile,n,mean_pct,lo_pct,hi_pct
1,358,-56.8142036113349,-56.9713601699126,-56.6486397827725
2,357,-52.9206475066514,-53.0191504129769,-52.8170563648843
3,357,-49.2924357793379,-49.4014177403304,-49.1723163311774
4,357,-43.881622598793,-44.066645448457,-43.6893769451749
5,357,-39.1154202213425,-39.2020815168012,-39.0314150350959
6,357,-36.6575711132498,-36.7149788659447,-36.6072160327189
7,357,-34.7894082001968,-34.8430246015891,-34.7335971545864
8,357,-32.9302535624788,-32.984171455364,-32.8656107103241
9,357,-30.7444483732012,-30.8167477352681,-30.6747683337979
10,357,-27.4598699716577,-27.6125738400805,-27.302397852866
