decile,n,mean_pct,lo_pct,hi_pct
1,392,13.4918767685494,13.233838688117,13.7867467700841
2,392,20.4219878276196,20.246030593893,20.5972155989281
3,392,26.3976754960485,26.2375159182362,26.5801653337166
4,392,32.2264489479537,32.0614102164054,32.3928834542235
5,392,37.1203441577177,37.0085287641304,37.2275958386597
6,392,40.8533857142015,40.7527035697792,40.9603584239355
7,392,44.0582228148183,43.9651409970989,44.1415473941934
8,392,47.2943424487894,47.1970454558591,47.3923537898572
9,392,51.4220767449701,51.2616893589998,51.575487209976
10,392,58.7645289018458,58.399225440626,59.1587418703726
