condition,nuisance_spec,treatment,treatment_var,split_rule,cutoff_raw,share_high,ATE_log,SE_log,ATE_pct,CI95_lo_pct,CI95_hi_pct,p_value,kept_pct,alpha,n_kept
base,BASE_M2V11,seller_N_total_value_high,log_sellern_total_value,median,1906.9973705057,0.5,0.124337946935985,,13.2398496944257,,,,79.1136016301579,0.1,6212
base,BASE_M2V11,seller_N_1_total_value_high,log_sellern_1_total_value,median,1642.14456853104,0.5,-0.140935893716872,,-13.1455010896006,,,,87.8120224146714,0.1,6895
base,BASE_M2V11,buyer_N_total_value_high,log_buyern_total_value,median,1229.58184288379,0.5,0.104667201205221,,11.0341028704806,,,,94.4982170147733,0.1,7420
base,BASE_M2V11,buyer_N_1_total_value_high,log_buyern_1_total_value,median,2081.83465951533,0.501018848700968,-0.100873675238891,,-9.59527707769371,,,,78.1966377992868,0.1,6140
base,TEMPORAL_AUG_M2V11,seller_N_total_value_high,log_sellern_total_value,median,1906.9973705057,0.5,0.13948848927255,,14.9685571924625,,,,78.4258787570046,0.1,6158
base,TEMPORAL_AUG_M2V11,seller_N_1_total_value_high,log_sellern_1_total_value,median,1642.14456853104,0.5,-0.113458616337499,,-10.7258859455201,,,,87.7865511971472,0.1,6893
base,TEMPORAL_AUG_M2V11,buyer_N_total_value_high,log_buyern_total_value,median,1229.58184288379,0.5,0.0850040164005965,,8.8721439431056,,,,94.5746306673459,0.1,7426
base,TEMPORAL_AUG_M2V11,buyer_N_1_total_value_high,log_buyern_1_total_value,median,2081.83465951533,0.501018848700968,-0.0757491708745846,,-7.29512917842311,,,,79.4065206316862,0.1,6235
samp,BASE_M2V11,seller_N_total_value_high,log_sellern_total_value,median,1762.46958490957,0.5,-0.107739762027305,,-10.2138776385621,,,,100,0.1,4206
samp,BASE_M2V11,seller_N_1_total_value_high,log_sellern_1_total_value,median,1306.24452976845,0.5,-0.170725358773828,,-15.6946921188998,,,,98.3357108892059,0.1,4136
samp,BASE_M2V11,buyer_N_total_value_high,log_buyern_total_value,median,799.667736908218,0.5,0.113037182008624,,11.9673563886729,,,,100,0.1,4206
samp,TEMPORAL_AUG_M2V11,seller_N_total_value_high,log_sellern_total_value,median,1762.46958490957,0.5,-0.0642960099786122,,-6.22726182182807,,,,100,0.1,4206
samp,TEMPORAL_AUG_M2V11,seller_N_1_total_value_high,log_sellern_1_total_value,median,1306.24452976845,0.5,-0.185464964977211,,-16.9282060706971,,,,98.9776509747979,0.1,4163
samp,TEMPORAL_AUG_M2V11,buyer_N_total_value_high,log_buyern_total_value,median,799.667736908218,0.5,0.127502910156365,,13.5988174139567,,,,100,0.1,4206
diffp,BASE_M2V11,seller_N_total_value_high,log_sellern_total_value,median,2090.23794627941,0.5,0.0755103099100149,,7.84343462218025,,,,82.2819528250137,0.1,3000
diffp,BASE_M2V11,seller_N_1_total_value_high,log_sellern_1_total_value,median,2255.0931438792,0.5,-0.136036580329719,,-12.7189295798592,,,,81.1848601206802,0.1,2960
diffp,BASE_M2V11,buyer_N_total_value_high,log_buyern_total_value,median,2227.28783343222,0.501097092704334,0.0374672839749293,,3.81780314677127,,,,98.6286341195831,0.1,3596
diffp,BASE_M2V11,buyer_N_1_total_value_high,log_buyern_1_total_value,median,2634.67011273815,0.5,-0.0612605562628142,,-5.94218656780478,,,,93.9659901261657,0.1,3426
diffp,TEMPORAL_AUG_M2V11,seller_N_total_value_high,log_sellern_total_value,median,2090.23794627941,0.5,0.0609402303069345,,6.28353869438554,,,,82.2545255074054,0.1,2999
diffp,TEMPORAL_AUG_M2V11,seller_N_1_total_value_high,log_sellern_1_total_value,median,2255.0931438792,0.5,-0.125758965305405,,-11.8172627839273,,,,80.9105869445968,0.1,2950
diffp,TEMPORAL_AUG_M2V11,buyer_N_total_value_high,log_buyern_total_value,median,2227.28783343222,0.501097092704334,0.00957372245128089,,0.96196971312168,,,,98.7931980252331,0.1,3602
diffp,TEMPORAL_AUG_M2V11,buyer_N_1_total_value_high,log_buyern_1_total_value,median,2634.67011273815,0.5,-0.0944162208884176,,-9.00960376215679,,,,93.8837081733407,0.1,3423
